United States COVID-19 Cases and Deaths by State
Date generated: Mon Oct 05 2020 18:36:00 GMT-0400 (Eastern Daylight Time)

State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000
Alaska,8405,null,null,924,1140,58,null,null,2,7
Alabama,159169,140445,18724,6848,3256,2558,2416,142,57,52
Arkansas,87013,null,null,5771,2887,1425,null,null,117,47
American Samoa,0,null,null,0,0,0,null,null,0,0
Arizona,220754,216027,4727,3517,3078,5706,5422,284,83,79
California,823729,null,null,21421,2082,16120,null,null,533,40
Colorado,73076,68016,5060,3997,1283,2067,1706,361,26,36
Connecticut,58297,55862,2435,1710,1632,4513,3614,899,12,126
District of Columbia,15519,null,null,269,2209,631,null,null,7,89
Delaware,21363,20287,1076,974,2209,645,565,80,11,66
Florida,707751,null,null,15517,3323,14671,null,null,639,68
Federated States of Micronesia,0,0,0,0,0,0,null,null,0,0
Georgia,322925,null,null,8240,3070,7162,null,null,216,68
Guam,2617,null,null,331,1579,49,null,null,10,29
Hawaii,12991,null,null,794,914,156,null,null,25,10
Iowa,92584,null,null,6227,2934,1383,null,null,68,43
Idaho,43964,39722,4242,3463,2506,482,442,40,22,27
Illinois,304280,301541,2739,13861,2388,9040,8791,249,195,70
Indiana,125146,null,null,7696,1870,3674,3447,227,94,54
Kansas,61111,57762,3349,4519,2099,698,null,null,66,23
Kentucky,72617,63189,9428,6126,1625,1209,1197,12,52,27
Louisiana,169719,null,null,3644,3642,5577,5387,190,112,119
Massachusetts,142336,132440,9896,4014,2062,9503,9295,208,104,137
Maryland,127791,null,null,3911,2115,3961,3817,144,23,65
Maine,5545,4963,582,245,414,142,null,null,2,10
Michigan,141271,127516,13755,6898,1414,7124,6801,323,80,71
Minnesota,103826,null,null,6188,1850,2133,2080,53,66,38
Missouri,132431,null,null,9155,2162,2173,null,null,110,35
Northern Mariana Islands,75,75,0,5,0,2,2,0,0,3
Mississippi,100703,92313,8390,3654,3372,3013,2765,248,92,100
Montana,14635,14635,0,2528,1378,187,187,0,14,17
North Carolina,217496,211961,5535,10116,2095,3634,3603,31,193,35
North Dakota,23862,null,null,2879,3139,277,null,null,43,36
Nebraska,47807,null,null,3744,2478,501,null,null,31,25
New Hampshire,8645,null,null,473,637,443,null,null,4,32
New Jersey,208202,null,null,4654,2337,16136,14349,1787,30,181
New Mexico,30477,null,null,1633,1454,892,null,null,22,42
Nevada,82204,null,null,3369,2709,1665,null,null,38,54
New York,218165,null,null,5232,1958,9068,null,null,41,81
New York City,247731,241842,5889,3891,2950,23861,19216,4645,53,284
Ohio,158907,149762,9145,8098,1359,4925,4617,308,184,42
Oklahoma,97580,86863,10717,7014,2475,1058,1039,19,47,26
Oregon,34770,33109,1661,1950,830,572,557,15,25,13
Pennsylvania,163535,158001,5534,7385,1277,8216,null,null,110,64
Puerto Rico,51305,25397,25908,3883,1606,695,518,177,47,21
Palau,0,null,null,0,0,0,null,null,0,0
Rhode Island,25076,null,null,895,2372,1118,null,null,11,105
Republic of Marshall Islands,0,0,0,0,0,0,null,null,0,0
South Carolina,151582,146576,5006,5695,2982,3453,3255,198,127,67
South Dakota,24418,null,null,2877,2768,248,246,2,30,28
Tennessee,201210,192906,8304,8215,2972,2577,2469,108,200,38
Texas,765894,null,null,30762,2668,16025,null,null,503,55
Utah,77618,77618,0,7003,2455,478,474,4,25,15
Virginia,152557,144439,8118,5964,1791,3276,3063,213,104,38
Virgin Islands,1327,null,null,10,1268,20,null,null,1,19
Vermont,1785,null,null,43,285,58,null,null,0,9
Washington,89874,null,null,3605,1193,2142,null,null,43,28
Wisconsin,139928,132663,7265,17450,2407,1388,1377,11,97,23
West Virginia,16628,16132,496,1280,921,358,null,null,24,19
Wyoming,6504,5546,958,871,1126,53,53,0,3,9
United States of America,7396730,2957608,178939,301438,2235,209199,112770,10978,4874,63
