ID,State,Active Cases Total, Active CasesChange since yesterday,Cured Cumulative,Cured Change since yesterday,Deaths Cumulative,Deaths Change since yesterday
1,Andaman and Nicobar Islands,400,39,2714,67,46,
2,Andhra Pradesh,101210,934,339876,9350,4053,84
3,Arunachal Pradesh,1226,6,2979,94,7,
4,Assam,24514,1241,86895,1434,315,9
5,Bihar,16168,167,121560,2020,621,39
6,Chandigarh,1942,83,2551,120,57,1
7,Chhattisgarh,15533,1296,17567,578,287,10
8,Dadra and Nagar Haveli and Daman and Diu,262,22,2122,41,2,
9,Delhi,15870,1244,156728,1050,4462,18
10,Goa,3962,313,13850,273,194,2
11,Gujarat,15708,184,78887,1131,3034,14
12,Haryana,11885,514,53835,1163,706,17
13,Himachal Pradesh,1527,36,4688,173,40,2
14,Jammu and Kashmir,8022,42,29484,469,717,14
15,Jharkhand,15256,1160,28149,1006,428,11
16,Karnataka,91018,3764,254626,5159,5837,135
17,Kerala,22578,975,53649,2111,298,4
18,Ladakh,720,53,1978,104,35,1
19,Madhya Pradesh,14072,158,49992,1335,1426,32
20,Maharashtra,198866,4467,584537,10978,24903,320
21,Manipur,1903,9,4450,120,29,1
22,Meghalaya,1193,3,1235,73,12,2
23,Mizoram,408,12,612,21,0,
24,Nagaland,793,81,3201,134,9,
25,Odisha,25288,470,80770,3484,503,11
26,Puducherry,4851,2,9675,341,240,12
27,Punjab,15849,337,38147,1120,1512,59
28,Rajasthan,13970,145,68124,1312,1069,13
29,Sikkim,429,5,1237,12,4,1
30,Tamil Nadu,52379,199,374172,6031,7418,96
31,Telengana,32341,642,97402,2240,846,10
32,Tripura,4737,371,7847,173,118,5
33,Uttarakhand,6042,134,14076,426,280,11
34,Uttar Pradesh,55538,750,176677,4537,3542,56
35,West Bengal,24822,458,137616,3346,3283,55
