id,county,Total,Service_total
0500000US36001,"Albany County, New York",159756,28366
0500000US36003,"Allegany County, New York",20029,4204
0500000US36005,"Bronx County, New York",595657,199775
0500000US36007,"Broome County, New York",87190,17195
0500000US36009,"Cattaraugus County, New York",33610,6569
0500000US36011,"Cayuga County, New York",36489,6746
0500000US36013,"Chautauqua County, New York",56021,11040
0500000US36015,"Chemung County, New York",37261,7783
0500000US36017,"Chenango County, New York",21902,3742
0500000US36019,"Clinton County, New York",36060,7800
0500000US36021,"Columbia County, New York",29545,5863
0500000US36023,"Cortland County, New York",23525,5189
0500000US36025,"Delaware County, New York",20204,3938
0500000US36027,"Dutchess County, New York",144058,28256
0500000US36029,"Erie County, New York",449109,82484
0500000US36031,"Essex County, New York",17294,4114
0500000US36033,"Franklin County, New York",20209,5335
0500000US36035,"Fulton County, New York",24360,4934
0500000US36037,"Genesee County, New York",29897,5340
0500000US36039,"Greene County, New York",20292,3847
0500000US36041,"Hamilton County, New York",1946,473
0500000US36043,"Herkimer County, New York",28627,5765
0500000US36045,"Jefferson County, New York",44760,9736
0500000US36047,"Kings County, New York",1217624,276554
0500000US36049,"Lewis County, New York",11711,2080
0500000US36051,"Livingston County, New York",28822,5298
0500000US36053,"Madison County, New York",33712,6644
0500000US36055,"Monroe County, New York",367045,63773
0500000US36057,"Montgomery County, New York",21536,4010
0500000US36059,"Nassau County, New York",684098,109670
0500000US36061,"New York County, New York",897040,125636
0500000US36063,"Niagara County, New York",100682,17896
0500000US36065,"Oneida County, New York",102319,21500
0500000US36067,"Onondaga County, New York",220979,38182
0500000US36069,"Ontario County, New York",54358,8784
0500000US36071,"Orange County, New York",174834,33711
0500000US36073,"Orleans County, New York",18161,3484
0500000US36075,"Oswego County, New York",53360,10672
0500000US36077,"Otsego County, New York",28171,5440
0500000US36079,"Putnam County, New York",51066,8439
0500000US36081,"Queens County, New York",1131527,276286
0500000US36083,"Rensselaer County, New York",81001,13700
0500000US36085,"Richmond County, New York",211293,40287
0500000US36087,"Rockland County, New York",148410,28089
0500000US36089,"St. Lawrence County, New York",44275,10238
0500000US36091,"Saratoga County, New York",118824,17597
0500000US36093,"Schenectady County, New York",73563,13719
0500000US36095,"Schoharie County, New York",14488,2554
0500000US36097,"Schuyler County, New York",8397,1588
0500000US36099,"Seneca County, New York",15571,2911
0500000US36101,"Steuben County, New York",42997,7892
0500000US36103,"Suffolk County, New York",744693,128090
0500000US36105,"Sullivan County, New York",32846,7627
0500000US36107,"Tioga County, New York",23065,4436
0500000US36109,"Tompkins County, New York",50250,8729
0500000US36111,"Ulster County, New York",86733,16720
0500000US36113,"Warren County, New York",31937,6302
0500000US36115,"Washington County, New York",28537,5450
0500000US36117,"Wayne County, New York",43779,6769
0500000US36119,"Westchester County, New York",479775,88646
0500000US36121,"Wyoming County, New York",18562,3617
0500000US36123,"Yates County, New York",11181,2131
